Title;Labels;Description;Assignee
The test type is mostly 'automated', but some test...;type:GE,sev:Critical,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The test type is mostly 'automated', but some test are 'manual' or it is unclear. However, in some cases a requirement is considered 'not testable' where a manual test might be possible.
It is clear that the ETS will only implement automated tests, but it may be helpful to understand if manual tests are within the scope of the ATSs or not.
# Proposed Change
Clarify.";emidiostani
Links point to the github repository....;type:GE,type:ED,sev:medium,ms:FR,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Links point to the github repository.
# Proposed Change
Make them relative links (into the document)";emidiostani
Unfortunately we had not had enough time to go thr...;type:G,sev:Critical,ms:SE,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Unfortunately we had not had enough time to go through all documents, but we have found parts of the document that are too general. They should be more specific if the purpose is to be able to validate Inspire conformance.
The following example is taken from ATS metadata.
- A04 is an example of too general text;
Test method
Checks if a resource type (hierarchyLevel) is provided and is taken from the MD_ScopeCode codelist.
To be relevant for INSPIRE the value should be either 'dataset', 'service' or 'series'
This test is relevant for Inspire, so the value should just consist of 'dataset', 'service' or 'series'
- A24 is an example of when the test is written more precise (good example);
Test method
The test first checks if there is at least one role element. The element must contain an element at gmd:CI_RoleCode[@codeListValue=x], where x is one of the values described in ISO 19115, chapter B.5.5.
# Proposed Change
When Inspire is precise in its requirements, e.g. resource type, then the test should also be more precise.";emidiostani
Unfortunately we had not had enough time to go thr...;type:G,sev:Critical,ms:SE,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Unfortunately we had not had enough time to go through all documents, but we have found parts of the document that are too general. They should be more specific if the purpose is to be able to validate Inspire conformance.
The following example is taken from ATS metadata.
- A04 is an example of too general text;
Test method
Checks if a resource type (hierarchyLevel) is provided and is taken from the MD_ScopeCode codelist.
To be relevant for INSPIRE the value should be either 'dataset', 'service' or 'series'
This test is relevant for Inspire, so the value should just consist of 'dataset', 'service' or 'series'
- A24 is an example of when the test is written more precise (good example);
Test method
The test first checks if there is at least one role element. The element must contain an element at gmd:CI_RoleCode[@codeListValue=x], where x is one of the values described in ISO 19115, chapter B.5.5.
# Proposed Change
When Inspire is precise in its requirements, e.g. resource type, then the test should also be more precise.";emidiostani
The target of tests are not clear enough. It is hi...;type:ge,sev:critical,ms:FR,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The target of tests are not clear enough. It is hidden in the method sometimes or in the prerequistes  in others.

# Proposed Change
Add a target field.";emidiostani
The test method descriptions often are not unambig...;type:GE,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The test method descriptions often are not unambiguously clear with respect to exactly what needs to the asserted. Providing the Xpath references for each selection and assertion necessary would help.
";emidiostani
A.01.01.ISO_AP;type:GE,sev:critical,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
ATS not provided as it is still a subject of further implementation specification development.

Coverage: consider of splitting into different tests; support of all mandatory operations and their parameters, correct encoding of the requests and responses
# Proposed Change
It could be possible to work with OGC to implement such a test in OGC CITE. As testing for an OGC standard is not INSPIRE-specific and should be provided by OGC.

";emidiostani
A.01.02.extended.behaviour;type:CT,sev:critical,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
ATS not provided as it is still a subject of further implementation specification development.
# Proposed Change
Remove test case because of redundancy:
'The test is an abstraction of all the tests in this Abstract Test Suite'";emidiostani
A.01.03.iso_19115_19119.model;type:CT,sev:critical,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Testability + Ambiguity: both the test purpose and test method need more details and clarification in order to arrive at a test case which 'is sufficient to enable a test verdict to be assigned unambiguously to each potentially observable test outcome'

Notes:
Unique identification (name) for this tests needs to be added (e.g. A.1.3 Metadata request).

NR IS should be added as reference (Annex II Part A 2.1)

XPATH expression is missing
";emidiostani
A.01.03.iso_19115_19119.model.md;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Title is wrong:
A Unique identification for this test
";emidiostani
A.01.03.iso_19115_19119.model.md;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Title is wrong:
A Unique identification for this test
";emidiostani
A.01.04.language.parameter;type:ED,sev:Minor,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
IR N2 reference should be part A and not part B
XPATH expression is missing

# Proposed Change
Update reference to IR N2

Add XPATH reference";emidiostani
A.01.05.iso-639.codes;type:AT,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
'A.1.4 Language parameter' should be a prerequisite
";emidiostani
A.01.06.unsupported.languages;type:AT,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
'A.1.4 Language parameter' should be a prerequisite
Furthermore there is some overlap with case 2 of test case A.1.4
# Proposed Change
Add 1.4 as prerequisite or consider merging with test case A.1.4";emidiostani
A.02.01.iso.searching.parameters;type:AT,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
As the list of SupportedISOQueryables and AdditionalQueryable are known an XPath could be present in the ATS.
'1.3 Metadata request' should be a prerequisite 
";emidiostani
A.02.02.additional.language.parameter;type:AT,sev:critical,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Should be merged with A.01.04
";emidiostani
A.02.03.addiotional.search.attributes;type:ED,sev:Minor,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Typo in the URL
XPATH expression is missing

A.3.1 as prerequisite? Additional search attributes are supported by the Discovery Service.
# Proposed Change
Addiotional -> additional
Add XPATH reference";emidiostani
A.02.04.discovery.service.metadata.parameters;type:AT,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
XPATH expression is missing

Also, clearly identify which Conformance Class / ATS needs to be passed by the document retrieved from the MetadataURL or by the ExtendedCapabilities element. For the MetadataURL it probably is the ats-metadata. For the second case I do not know any Conformance Class / ATS for this. In that case, the test cases for testing the extended capabilities would need to be specified in an unambiguous and testable way.
# Proposed Change
Add XPATH reference";emidiostani
A.02.05.inspire.service;type:AT,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
XPATH expression is missing
Clearly identify the Conformance Class / ATS that the response document must conform to / pass.
# Proposed Change
Add XPATH reference";emidiostani
A.02.06.federated.catalogues.advertisement;type:CR,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Ambiguity:
Neither requirement 3 nor the test states unambiguously how the list of federated catalogues shall be advertised. Adding Xpath references may help, but the information should also be included in the TG.
Notes:
XPATH expression is missing

Under 'notes', hyperlink to section 4.3.4.3
";emidiostani
A.02.07.federated.discovery.service;type:AT,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
XPATH expression is missing
# Proposed Change
Add XPATH reference";emidiostani
A.02.08.natural.languages;type:AT,sev:critical,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
It should be merged with A.01.04
";emidiostani
A.02.09.response.language;type:AT,sev:critical,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Could be merged with A.01.04
For default language it should use 'inspire_common:DefaultLanguage' as specified in A.02.10

XPath expression can be added here
# Proposed Change
Add XPATH reference";emidiostani
A.02.10.supported.languages;type:AT,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
XPATH expression is missing
# Proposed Change
Add XPATH reference";emidiostani
A.02.11.xml.schema;type:AT,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Link to the XML schema (not included in the TG) should be provided to test effectively
";emidiostani
A.03.01.inspire.search.attributes;type:AT,type:ED,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
- XPATH expression is missing
- Test type can be 'automated'
- Adapt last sentence to:
'This test is an abstraction of the tests A.3.7 INSPIRE search criteria, A.3.8 Language search criteria and A.3.9 Additional search criteria'

# Proposed Change
Add XPATH reference";emidiostani
A.03.02.language.query.parameters;type:ED,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The parameter 'Language' could be removed from the test case as it is already present in A.01.04
Reference to the TG requirement should be added. Also, it needs to be clarified what 'supporting the Query parameter' means. Is it referring to test A.3.4? If yes, what does A.3.2 add?
";emidiostani
A.03.03.language.search.attribute;type:ED,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The parameter Language has been already introduced in A.01.04

Add A.01.04 as prerequisite or merge with A.01.04
";emidiostani
A.03.04.query;type:AT,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The XPATH expression for the query element is missing (it could be determined from the Discovery Metadata Request)
# Proposed Change
Add XPATH reference";emidiostani
A.03.05.inspire;type:AT,type:ED,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Testability:
Not testable, as one would need to have the list of all records to verify that 'each resource matching the query' is selected.
Notes:
The XPATH expression is missing

URL is not descriptive, consider changing to 'inspire.metadata' or 'inspire.md.elements'

# Proposed Change
Consider rephrashing purpose to make this testable: 'each resource contained in the response'

Add XPATH reference";emidiostani
A.03.06.distributed.search.parameter;type:GE,type:ED,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Ambiguity: 
'Where applicable' in both test purpose and test method is vague and should be specified.
The XPATH expression for hopCount is missing + information about hopCount attribute?
Is the test type automated or manual?
Notes section contains template text
# Proposed Change
Specify 'where applicable' in both test purpose and test method

Add XPATH reference

Define whether test can be automated or not

Update notes section";emidiostani
A.03.07.inspire.search.criteria;type:AT,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
It should be merged with A.03.01 or delete A.03.01

";emidiostani
A.03.08.language.search.criteria;type:AT,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
It should be merged with A.03.01 or delete A.03.01

";emidiostani
A.03.09.additional.search.criteria;type:AT ,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
It should be merged with A.03.01 or delete A.03.01

";emidiostani
A.03.10.missing.language.filter;type:AT,sev:critical,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
- A.01.04 and 1.02.09 as prerequisites 
- I think it is in conflict with A.01.06 where a default language should be provide anyway.

A.02.09 states that if language requested by client is NOT contained in the list of supported languages, the default language is used as defined in \inspire_common:Language

However based on 3.10 this should be equivalent to missing language parameter? -> In other words, the response should contain metadata records of several natural languages, as provided by the INSPIRE Discovery Service.
";emidiostani
A.03.11.language.filter;type:AT ,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Overlaps with A.01.04
A.01.04 as prerequisite
A.02.09 as prerequisite
";emidiostani
A.03.12.invalid.request;type:AT,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
A.1.04 as prerequisite
A.2.09 as prerequisite
";emidiostani
A.04.01.harvesting.readiness;type:CT,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
This test (and requirement) does not belong to the ATS and the TG. It is a requirement on a different subject (some external resource), not the discovery service. Remove test from ATS. There is nothing that can be tested against the discovery service via the CSW API (or if it is clarify what the requirement is that should be tested).
# Proposed Change
Remove test";emidiostani
A.04.02.third.party.discovery.services.published;type:CT,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Unclear what should or could be tested here via the CSW API
# Proposed Change
Clarify";emidiostani
A.05.01.third.party.discovery.services.harvestable;type:ED,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Ambiguity: 'Verification whether all information about the Public Authority's or Third Party's Discovery Service are provided'. The test should specify which information should be provided.

Testability: How to determine the URL of the MS discovery service? Does this need to be provided as an additional parameter to the test run?
";emidiostani
A.06.03.QoS.availability;type:,sev:,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
This is not a test for the test framework. Continuous monitoring should be part of the local infrastructure (this applies in general for the other QoS aspects as well, but for them a one-time test in a test run are possible, but not for availability).
# Proposed Change
Remove test case from ATS";emidiostani
A.1.1 ISO Metadata Application Profile;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The Test Method requires testing OGC standard functionality, which instead shall be delegated to the OGC Tests.
The Test Method shall instead just inspect the capabilities document and this is not mentioned.

";emidiostani
A.1.2 Extended behaviour;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
What is this for?
";emidiostani
A.1.4 Language parameter;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The Test Method is wrong:
'Examine whether the Get Discovery Service Metadata and Discover Metadata operations support the parameter 'language',

No additional language parameter is foreseen for the Discover Metadata operation for which ISO queryable is used.
";emidiostani
A.1.4 Language parameter;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The Test Method is wrong:
'Examine whether the Get Discovery Service Metadata and Discover Metadata operations support the parameter 'language',

No additional language parameter is foreseen for the Discover Metadata operation for which ISO queryable is used.
";emidiostani
A.2.3 Additional search attributes;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Typo in the link:
A.02.03.addiotional.search.attributes.md
";emidiostani
A.2.3 Additional search attributes;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Typo in the link:
A.02.03.addiotional.search.attributes.md
";emidiostani
A.2.4 Discovery Service metadata parameters;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The test does not take into account that MetadataURL can be present, optionally, also in the long scenario.
";emidiostani
A.2.4 Discovery Service metadata parameters;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The test does not take into account that MetadataURL can be present, optionally, also in the long scenario.
";emidiostani
A.2.6 Federated catalogues advertisement;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The validation can only be done knowing the Discovery Scenario chosen when registering the service in the INSPIRE Geoportal.
";emidiostani
A.2.6 Federated catalogues advertisement;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The validation can only be done knowing the Discovery Scenario chosen when registering the service in the INSPIRE Geoportal.
";emidiostani
A.2.7 Federated Discovery Service;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The validation can only be done knowing the Discovery Scenario chosen when registering the service in the INSPIRE Geoportal.
";emidiostani
A.2.7 Federated Discovery Service;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The validation can only be done knowing the Discovery Scenario chosen when registering the service in the INSPIRE Geoportal.
";emidiostani
A.02.TGR2.conformtoAtomSpecification;type:CT,type:GE,sev:Critical,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Is this only about validation against RelaxNG or checking conformance against RFC 4287?
# Proposed Change
If the latter, conformance to RFC 4287 should be a separate ATS and identify the test cases to a level that unambiguously identifies the assertions to test.";emidiostani
A.02.TGR2.conformtoAtomSpecification.md;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
In the Test method the use of the word 'resolve is misleading'.
'…resolve the link the referenced Atom feed…'
";emidiostani
A.02.TGR2.conformtoAtomSpecification.md;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
In the Test method the use of the word 'resolve is misleading'.
'…resolve the link the referenced Atom feed…'
";emidiostani
A.03.TGR3.conformtoGeoRSS-Simple;type:CT,type:GE,sev:Critical,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Is this only about validation of selected elements in an Atom feed against the GeoRSS XML Schema or checking conformance against the GeoRSS specification?
# Proposed Change
If the latter, conformance to GeoRSS should be a separate ATS and identify the test cases to a level that unambiguously identifies the assertions to test.";emidiostani
A.04.TGR4.conformtoOpenSearch1.1;type:CT,type:GE,sev:Critical,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Validation of OpenSearch description document is more than a test case. There is no schema document or similar that could be used.
(If a single test case would be ok here, there would be no need to break INSPIRE conformance classes down into test cases, just one test case 'test conformance against INSPIRE Technical Guidance' would be sufficient.)
# Proposed Change
Define ATS for the OpenSearch description and identify the test cases to a level that unambiguously identifies the assertions to test.";emidiostani
A.04.TGR4.conformtoOpenSearch1.1;type:GE,sev:Medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Open Search 1.1 is not a finalised specification. http://www.opensearch.org/Specifications/OpenSearch/1.1 redirects to Draft 5.
# Proposed Change
Clarify which draft version is meant (probably Draft 5).";emidiostani
A.06.IR511.TGR6.linkToMetadataForTheService;type:CT,sev:Medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
'the INSPIRE language request parameters in the Resource Locator to the Atom Download Service Feed URLs must be ignored in the comparison' is unclear. Which comparison? The does not seem to be any comparisons of feed URLs only of metadata record URLs?
# Proposed Change
Clarify.";emidiostani
A.06.IR511.TGR6.linkToMetadataForTheService;type:CT,sev:Minor,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
'valid gmd:MD_Metadata element' is most likely understood to mean 'schema valid'. 
# Proposed Change
If something else is meant, the test should be clarified.";emidiostani
A.07.TGR7.selfreference;type:CT,sev:Medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Test method seems incomplete.
# Proposed Change
Clarify Xpath reference for 'he default language code defined in the OpenSearch description'.";emidiostani
A.08.IR222.TGR8.linktoOpenSearchDescription;type:GE,sev:Medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
How is this different from A.04.TGR4.conformtoOpenSearch1.1?
# Proposed Change
Drop one test.";emidiostani
A.08.IR222.TGR8.linktoOpenSearchDescription;type:ED,sev:minor,ms:NL,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Typo in the Note: 'the the'
# Proposed Change
Rewrite to 'the'";emidiostani
A.08.IR222.TGR8.linktoOpenSearchDescription;type:ED,sev:minor,ms:NL,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Typo in the Note: 'the the'
# Proposed Change
Rewrite to 'the'";emidiostani
